,Name,Psychometrics,Presentation,Date,Location
6,RODOLFO WOLOSCHINSKI,49/100,19/32,2019/05/15,London Academy
7,SANSONE CAGHAN,48/100,23/32,2019/05/15,London Academy
8,ADAMO OSMENT,51/100,20/32,2019/05/15,London Academy
9,ALFI JANKU,52/100,20/32,2019/05/15,London Academy
10,OLIVER THACKE,52/100,14/32,2019/05/15,London Academy
11,GARRET PLEASAUNCE,55/100,20/32,2019/05/15,London Academy
12,SHEBA EVERAL,52/100,25/32,2019/05/15,London Academy
13,ADHAM PETROLLI,61/100,22/32,2019/05/15,London Academy
14,GARVIN IANIZZI,51/100,18/32,2019/05/15,London Academy
15,MARYSA HEATHORN,67/100,23/32,2019/05/15,London Academy
16,SANFORD LARKING,60/100,19/32,2019/05/15,London Academy
17,DALT LE GRAND,62/100,21/32,2019/05/15,London Academy
18,RAINER JOSEFOVIC,57/100,24/32,2019/05/15,London Academy
19,SELESTINA MCBEAN,51/100,15/32,2019/05/15,London Academy
20,ALAIN PEINTON,61/100,21/32,2019/05/15,London Academy
21,OSWELL BURDIS,47/100,20/32,2019/05/15,London Academy
22,AUDREY BOSSEL,46/100,16/32,2019/05/15,London Academy
23,MORGEN KENINGHAM,49/100,18/32,2019/05/15,London Academy
24,DENNY ENGA,57/100,23/32,2019/05/15,London Academy
0,IVOR QUOGAN,39/100,16/32,2019/10/15,London Academy
1,THIBAUT EDBROOKE,49/100,13/32,2019/10/15,London Academy
2,CHANCEY BITTEN,50/100,18/32,2019/10/15,London Academy
3,NOLAND ORIGIN,55/100,20/32,2019/10/15,London Academy
4,CORRENA SUTHEREL,51/100,26/32,2019/10/15,London Academy
5,DORETTA HALLOR,54/100,20/32,2019/10/15,London Academy
6,ADDI LARTER,43/100,20/32,2019/10/15,London Academy
7,TIERNEY TWATT,51/100,19/32,2019/10/15,London Academy
8,WILEEN GARTENFELD,54/100,20/32,2019/10/15,London Academy
9,ILEANE MARGARSON,63/100,23/32,2019/10/15,London Academy
10,MATEO HANBURRY,58/100,21/32,2019/10/15,London Academy
11,HOGAN RAFFAN,53/100,27/32,2019/10/15,London Academy
12,CREIGHTON ESTRELLA,59/100,21/32,2019/10/15,London Academy
13,BRYNA DELLE,51/100,20/32,2019/10/15,London Academy
14,CRISTY RUTLEDGE,51/100,23/32,2019/10/15,London Academy
15,CODI KEAR,64/100,24/32,2019/10/15,London Academy
16,MADALYN FACEY,60/100,25/32,2019/10/15,London Academy
17,TYMOTHY TITCHARD,52/100,24/32,2019/10/15,London Academy
18,JANEEN PINNEY,59/100,14/32,2019/10/15,London Academy
19,LOCKE LACELETT,56/100,19/32,2019/10/15,London Academy
20,DAREN WINDRUM,59/100,21/32,2019/10/15,London Academy
21,CARIA TRILLOW,53/100,16/32,2019/10/15,London Academy
22,CORBY CRISTOFOLINI,41/100,26/32,2019/10/15,London Academy
0,LAY TROSDALL,61/100,21/32,2019/04/16,London Academy
1,KIMBELL LASSETER,57/100,19/32,2019/04/16,London Academy
2,ORAZIO BRAWN,68/100,25/32,2019/04/16,London Academy
3,CILKA ANLAY,43/100,18/32,2019/04/16,London Academy
4,IRINA MARRITT,61/100,23/32,2019/04/16,London Academy
5,TYE WORGEN,52/100,13/32,2019/04/16,London Academy
6,DARCY SRUTTON,66/100,21/32,2019/04/16,London Academy
7,WESTBROOKE WONHAM,56/100,20/32,2019/04/16,London Academy
8,JESSEE CHISNALL,51/100,24/32,2019/04/16,London Academy
9,ALI OUTRAM,54/100,17/32,2019/04/16,London Academy
10,ANNALISE EASOM,51/100,23/32,2019/04/16,London Academy
11,CORTY FREARSON,50/100,21/32,2019/04/16,London Academy
12,TERRI SPENSLEY,58/100,25/32,2019/04/16,London Academy
13,ELLI VILLALTA,40/100,27/32,2019/04/16,London Academy
14,KARINA INGYON,57/100,18/32,2019/04/16,London Academy
15,REINA LOUDIANE,49/100,17/32,2019/04/16,London Academy
16,KARLENE MCDERMOTT-ROW,64/100,19/32,2019/04/16,London Academy
17,STACIE HEADS,63/100,23/32,2019/04/16,London Academy
18,DILLON GEMNETT,55/100,24/32,2019/04/16,London Academy
19,CHLOETTE VAN WEEDENBURG,47/100,22/32,2019/04/16,London Academy
20,LOUISE DOWSE,50/100,20/32,2019/04/16,London Academy
21,YELENA KELLEWAY,52/100,25/32,2019/04/16,London Academy
22,ISABELITA ALEXANDROU,63/100,22/32,2019/04/16,London Academy
23,DICKIE KEARTON,61/100,20/32,2019/04/16,London Academy
24,CELLE BARLAS,65/100,23/32,2019/04/16,London Academy
0,HUEY BROODES,46/100,25/32,2019/01/16,London Academy
1,LORIANNA WEINHAM,53/100,18/32,2019/01/16,London Academy
2,INGAR HUCKSTEPP,44/100,18/32,2019/01/16,London Academy
3,ROXANNE EDIE,54/100,21/32,2019/01/16,London Academy
4,THORPE MADDIE,49/100,16/32,2019/01/16,London Academy
5,ABIGAIL DUNSMORE,56/100,25/32,2019/01/16,London Academy
6,GORAN ETON,60/100,23/32,2019/01/16,London Academy
7,RAQUELA ELCOX,63/100,22/32,2019/01/16,London Academy
8,YOLANDA FOSSE,61/100,20/32,2019/01/16,London Academy
9,CORRI PUND,58/100,26/32,2019/01/16,London Academy
10,STEPHAN BAHLS,59/100,24/32,2019/01/16,London Academy
11,FELECIA MCBLAIN,47/100,24/32,2019/01/16,London Academy
12,CONCHITA GUMEY,57/100,18/32,2019/01/16,London Academy
13,PIERSON MILLS,47/100,20/32,2019/01/16,London Academy
14,INGEBERG OTHEN,59/100,20/32,2019/01/16,London Academy
15,GARVIN DRACEY,54/100,23/32,2019/01/16,London Academy
16,GARROTT DEMAINE,58/100,19/32,2019/01/16,London Academy
17,WILONA PAMMENTER,63/100,15/32,2019/01/16,London Academy
18,LYNNETT SWIN,58/100,23/32,2019/01/16,London Academy
19,GUSTAF LUDE,51/100,20/32,2019/01/16,London Academy
20,MONAH DOWLING,49/100,24/32,2019/01/16,London Academy
21,RANDALL WALLER,53/100,19/32,2019/01/16,London Academy
22,THOMASINE POUNDFORD,65/100,22/32,2019/01/16,London Academy
23,ANATOLE PETERFFY,62/100,17/32,2019/01/16,London Academy
24,SIMON MURREY,50/100,19/32,2019/01/16,London Academy
25,ZACCARIA BUSSONS,61/100,20/32,2019/01/16,London Academy
26,STACI HARLETT,56/100,11/32,2019/01/16,London Academy
27,TRSTRAM GOODYER,61/100,20/32,2019/01/16,London Academy
28,THEODOSIA CREENAN,52/100,22/32,2019/01/16,London Academy
29,MELBA COBAIN,44/100,22/32,2019/01/16,London Academy
30,RICCA SOWDEN,55/100,21/32,2019/01/16,London Academy
31,DRONA LEMONBY,51/100,22/32,2019/01/16,London Academy
32,CORY GREENE,58/100,24/32,2019/01/16,London Academy
0,DONALT GUMMOE,66/100,19/32,2019/07/16,London Academy
1,FARLEE BAALHAM,66/100,20/32,2019/07/16,London Academy
2,ZSA ZSA ROUNSEFULL,61/100,20/32,2019/07/16,London Academy
3,VERENA TOWNES,59/100,22/32,2019/07/16,London Academy
4,LUDVIG GRZES,53/100,19/32,2019/07/16,London Academy
5,KAROLY SKATES,51/100,20/32,2019/07/16,London Academy
6,KELLYANN YORKSTON,54/100,21/32,2019/07/16,London Academy
7,OLLY MOUGENEL,52/100,18/32,2019/07/16,London Academy
8,ALAN HALLEWELL,68/100,13/32,2019/07/16,London Academy
9,BOWIE ENDERSBY,51/100,23/32,2019/07/16,London Academy
10,ERINA STOCKAU,46/100,21/32,2019/07/16,London Academy
11,FONS GHIOTTO,58/100,19/32,2019/07/16,London Academy
12,MARKOS WALTER,51/100,24/32,2019/07/16,London Academy
13,MIRILLA BOTTINELLI,51/100,18/32,2019/07/16,London Academy
14,RODOLFO GARRET,60/100,21/32,2019/07/16,London Academy
15,ALLI LUDEWIG,64/100,22/32,2019/07/16,London Academy
16,ELNORE SCHWANDNER,51/100,21/32,2019/07/16,London Academy
17,GRADEIGH HAMBLIN,60/100,17/32,2019/07/16,London Academy
18,BREWER CALDERBANK,50/100,20/32,2019/07/16,London Academy
19,NETTLE HEFFER,43/100,21/32,2019/07/16,London Academy
20,ULRIKAUMEKO BOWSHER,52/100,17/32,2019/07/16,London Academy
21,VINA FLOTT,57/100,18/32,2019/07/16,London Academy
22,ALEXIS SHEE,47/100,20/32,2019/07/16,London Academy
23,PORTIA FARFALAMEEV,59/100,18/32,2019/07/16,London Academy
24,MARTELLE VENEUR,43/100,14/32,2019/07/16,London Academy
25,TAD MCILHAGGA,65/100,18/32,2019/07/16,London Academy
0,BOBBY MCCRACKEN,46/100,24/32,2019/05/16,Birmingham Academy
1,ANDREI MUSSLEWHITE,51/100,23/32,2019/05/16,Birmingham Academy
2,VILHELMINA KISSELL,63/100,21/32,2019/05/16,Birmingham Academy
3,STANDFORD BREWITT,56/100,22/32,2019/05/16,Birmingham Academy
4,ALFI MCCRACKEN,63/100,18/32,2019/05/16,Birmingham Academy
5,MERCEDES CADDEN,48/100,20/32,2019/05/16,Birmingham Academy
6,LINUS PIETRUSZEWICZ,58/100,21/32,2019/05/16,Birmingham Academy
7,CORENA BIRTLEY,46/100,25/32,2019/05/16,Birmingham Academy
8,PHILIPPA MCCALISTER,51/100,16/32,2019/05/16,Birmingham Academy
9,SEBASTIANO RAMSBY,43/100,16/32,2019/05/16,Birmingham Academy
10,PATIN STOREK,51/100,24/32,2019/05/16,Birmingham Academy
11,ALIDIA GOVETT,56/100,19/32,2019/05/16,Birmingham Academy
12,JUIETA TELLETT,63/100,26/32,2019/05/16,Birmingham Academy
13,FONZ GRZEGORZEWICZ,48/100,16/32,2019/05/16,Birmingham Academy
14,HEINDRICK MCKIDDIN,58/100,25/32,2019/05/16,Birmingham Academy
15,BENEDIKT SCOGINGS,59/100,25/32,2019/05/16,Birmingham Academy
16,DAVIDSON BISKUPIAK,40/100,21/32,2019/05/16,Birmingham Academy
17,ABEY LIGHTOLLERS,62/100,19/32,2019/05/16,Birmingham Academy
18,GERIANNE BAGGE,58/100,16/32,2019/05/16,Birmingham Academy
19,FILBERTO ANNIS,54/100,25/32,2019/05/16,Birmingham Academy
0,CLAY PERILLO,68/100,18/32,2019/10/16,London Academy
1,MARGARETTA GEDLING,55/100,25/32,2019/10/16,London Academy
2,ARLIE BAYNAM,43/100,22/32,2019/10/16,London Academy
3,DEANA LYNDS,61/100,25/32,2019/10/16,London Academy
4,CHUCHO KEGAN,51/100,19/32,2019/10/16,London Academy
5,OLLY AITKENHEAD,45/100,17/32,2019/10/16,London Academy
6,ADEY BRAMWELL,52/100,12/32,2019/10/16,London Academy
7,JORDAIN OFFEN,62/100,21/32,2019/10/16,London Academy
8,ENGLEBERT HEDMAN,62/100,20/32,2019/10/16,London Academy
9,ELVERA GORMAN,54/100,20/32,2019/10/16,London Academy
10,ALAND HOUCHIN,44/100,17/32,2019/10/16,London Academy
11,JESUS KELLER,54/100,12/32,2019/10/16,London Academy
12,ENGELBERT PALATINO,64/100,24/32,2019/10/16,London Academy
13,ZONDRA LINDGREN,48/100,19/32,2019/10/16,London Academy
14,CAREN PUIG,54/100,24/32,2019/10/16,London Academy
15,MARMADUKE KIEFER,64/100,21/32,2019/10/16,London Academy
16,GABI FICE,55/100,22/32,2019/10/16,London Academy
17,TIFFI REDDLESDEN,50/100,21/32,2019/10/16,London Academy
18,MIRABELLE TIDDER,66/100,19/32,2019/10/16,London Academy
19,EVELYN LUKASH,47/100,17/32,2019/10/16,London Academy
20,ELITA FOCH,51/100,26/32,2019/10/16,London Academy
21,WINONA CARLAW,68/100,24/32,2019/10/16,London Academy
0,RIVI EPINAY,53/100,19/32,2019/04/17,London Academy
1,ASH HANNON,59/100,19/32,2019/04/17,London Academy
2,MARIE-ANN VAAR,52/100,21/32,2019/04/17,London Academy
3,ALLI SLEEFORD,55/100,20/32,2019/04/17,London Academy
4,MAURE TINK,47/100,17/32,2019/04/17,London Academy
5,ERASTUS WENGER,43/100,18/32,2019/04/17,London Academy
6,BROOKS GETHOUSE,55/100,19/32,2019/04/17,London Academy
7,ILKA MOODIE,51/100,25/32,2019/04/17,London Academy
8,MYLO LEBAND,44/100,16/32,2019/04/17,London Academy
9,GIANINA BESSENT,56/100,25/32,2019/04/17,London Academy
10,BRENDON FERRIERI,73/100,20/32,2019/04/17,London Academy
11,ASHLI MULLANEY,49/100,19/32,2019/04/17,London Academy
12,ELLEREY SHENTON,46/100,23/32,2019/04/17,London Academy
13,GUINNA GARFORD,50/100,17/32,2019/04/17,London Academy
14,SUZY BLAISDELL,59/100,24/32,2019/04/17,London Academy
15,GRADEY CONNOR,54/100,22/32,2019/04/17,London Academy
16,CARLYN DURRAM,55/100,14/32,2019/04/17,London Academy
17,BIDDY RAPPS,53/100,19/32,2019/04/17,London Academy
18,THEA LABBEY,40/100,22/32,2019/04/17,London Academy
19,ANNEMARIE DULINTY,48/100,26/32,2019/04/17,London Academy
20,BETH TINER,64/100,23/32,2019/04/17,London Academy
21,KAYLE FERENC,52/100,20/32,2019/04/17,London Academy
22,GONZALO DANNIELL,50/100,22/32,2019/04/17,London Academy
0,CHARMIAN MARTINUZZI,58/100,22/32,2019/12/17,London Academy
1,EBA TARBATH,51/100,21/32,2019/12/17,London Academy
2,NOBE GUERRAZZI,54/100,19/32,2019/12/17,London Academy
3,GERDA YUILLE,59/100,20/32,2019/12/17,London Academy
4,BERKLY FISHLEIGH,51/100,24/32,2019/12/17,London Academy
5,SHERWOOD SANDERCOCK,57/100,20/32,2019/12/17,London Academy
6,BLONDELLE JAAN,63/100,15/32,2019/12/17,London Academy
7,HERMIE LASSELL,49/100,24/32,2019/12/17,London Academy
8,LAWTON HIDDSLEY,58/100,17/32,2019/12/17,London Academy
9,GIUSEPPE COBBIN,50/100,14/32,2019/12/17,London Academy
10,GIPSY SERES,54/100,22/32,2019/12/17,London Academy
11,RUBE BEALS,59/100,22/32,2019/12/17,London Academy
12,IVES WEDDELL,54/100,16/32,2019/12/17,London Academy
13,VERA BROADFOOT,63/100,20/32,2019/12/17,London Academy
14,BREW BOTTERELL,54/100,17/32,2019/12/17,London Academy
15,CELESTA BINION,61/100,25/32,2019/12/17,London Academy
16,MAISON PURSE,61/100,20/32,2019/12/17,London Academy
17,ARNE WARNE,41/100,21/32,2019/12/17,London Academy
18,RAFFAELLO MORTLOCK,36/100,20/32,2019/12/17,London Academy
19,LEE AMBROGIOLI,63/100,20/32,2019/12/17,London Academy
20,EDNA DILSTON,68/100,22/32,2019/12/17,London Academy
21,RAFAELITA D'AMBROGI,57/100,18/32,2019/12/17,London Academy
0,AGNETA FANTINI,58/100,19/32,2019/01/17,Birmingham Academy
1,KARE GARVILL,48/100,17/32,2019/01/17,Birmingham Academy
2,CHUCHO TIFT,56/100,12/32,2019/01/17,Birmingham Academy
3,TEDDY HAM,59/100,25/32,2019/01/17,Birmingham Academy
4,MARC EXTANCE,46/100,16/32,2019/01/17,Birmingham Academy
5,LAURETTA BARTELL,51/100,24/32,2019/01/17,Birmingham Academy
6,KALA DOEG,48/100,28/32,2019/01/17,Birmingham Academy
7,LINOEL FISSENDEN,59/100,19/32,2019/01/17,Birmingham Academy
8,REINALDOS RAYNE,59/100,16/32,2019/01/17,Birmingham Academy
9,ZECHARIAH SALZBERGER,47/100,19/32,2019/01/17,Birmingham Academy
10,SYLVAN ASHER,51/100,24/32,2019/01/17,Birmingham Academy
11,GEORGIE PEREL,51/100,25/32,2019/01/17,Birmingham Academy
12,LAZAR SELIGSON,67/100,11/32,2019/01/17,Birmingham Academy
13,BERNADETTE GERARDI,53/100,21/32,2019/01/17,Birmingham Academy
14,JENIFER PICKLES,41/100,15/32,2019/01/17,Birmingham Academy
15,TONNIE ROYDEN,44/100,20/32,2019/01/17,Birmingham Academy
16,GELYA PYSON,54/100,23/32,2019/01/17,Birmingham Academy
17,AIDA BOTHAMS,56/100,22/32,2019/01/17,Birmingham Academy
18,MUFFIN WIGGLESWORTH,53/100,21/32,2019/01/17,Birmingham Academy
19,BART GODILINGTON,57/100,15/32,2019/01/17,Birmingham Academy
20,ALLIANORA ROWDELL,55/100,22/32,2019/01/17,Birmingham Academy
21,RANDY SEMKEN,61/100,23/32,2019/01/17,Birmingham Academy
22,WAKEFIELD JEVES,58/100,17/32,2019/01/17,Birmingham Academy
23,NETTIE CIVITILLO,55/100,17/32,2019/01/17,Birmingham Academy
24,BARNABAS CRINION,64/100,23/32,2019/01/17,Birmingham Academy
25,KYLYNN JEWES,58/100,19/32,2019/01/17,Birmingham Academy
26,ARCHAIMBAUD BULLER,63/100,18/32,2019/01/17,Birmingham Academy
0,ROMOLA COLDTART,54/100,20/32,2019/07/17,London Academy
1,SHEA CHASMOOR,59/100,19/32,2019/07/17,London Academy
2,ELDIN BROSTER,55/100,22/32,2019/07/17,London Academy
3,FEE KARPE,53/100,19/32,2019/07/17,London Academy
4,ANTONIUS HEAPE,51/100,20/32,2019/07/17,London Academy
5,RAD BENCH,55/100,22/32,2019/07/17,London Academy
6,EMMETT STOGILL,51/100,19/32,2019/07/17,London Academy
7,ROXIE GLASBY,55/100,14/32,2019/07/17,London Academy
8,OFILIA KEIZMAN,62/100,17/32,2019/07/17,London Academy
9,ALEX PEASCOD,58/100,13/32,2019/07/17,London Academy
10,PATRIZIA WYRE,56/100,19/32,2019/07/17,London Academy
11,COURTNAY DUIGED,62/100,17/32,2019/07/17,London Academy
12,SARENA WEATHERILL,59/100,22/32,2019/07/17,London Academy
13,BARR KHOSA,49/100,20/32,2019/07/17,London Academy
14,EVIN DE ROECK,62/100,18/32,2019/07/17,London Academy
15,BROOKE PAOLINO,49/100,19/32,2019/07/17,London Academy
16,LAIRD GRECE,51/100,24/32,2019/07/17,London Academy
17,PAULINA TEAR,52/100,21/32,2019/07/17,London Academy
18,MARSHA LIPPETT,48/100,22/32,2019/07/17,London Academy
19,AVICTOR MOOREY,62/100,23/32,2019/07/17,London Academy
20,JOSEITO DUIGED,60/100,22/32,2019/07/17,London Academy
21,HASTIE HANTUSCH,55/100,16/32,2019/07/17,London Academy
22,BURNABY MACKAY,52/100,22/32,2019/07/17,London Academy
23,LINC RIDGWAY,68/100,23/32,2019/07/17,London Academy
24,ADELBERT TERNEY,49/100,21/32,2019/07/17,London Academy
0,ANY SHOTBOLT,60/100,17/32,2019/10/17,Birmingham Academy
1,KORRY KENWORTH,60/100,19/32,2019/10/17,Birmingham Academy
2,STEPHIE BOORNE,38/100,23/32,2019/10/17,Birmingham Academy
3,ASHELY BRITTLES,50/100,21/32,2019/10/17,Birmingham Academy
4,SAMMIE BEAMS,63/100,19/32,2019/10/17,Birmingham Academy
5,ADDA BROMONT,56/100,21/32,2019/10/17,Birmingham Academy
6,EVEY WHITELAND,55/100,17/32,2019/10/17,Birmingham Academy
7,VERINE PICKRING,54/100,18/32,2019/10/17,Birmingham Academy
8,WALT KIRKBY,57/100,20/32,2019/10/17,Birmingham Academy
9,KINGSLY EMMER,40/100,16/32,2019/10/17,Birmingham Academy
10,DAMIANO PETRUSCH,49/100,19/32,2019/10/17,Birmingham Academy
11,DINA MCGOOKIN,57/100,18/32,2019/10/17,Birmingham Academy
12,PATTEN TINMAN,63/100,26/32,2019/10/17,Birmingham Academy
13,FABIO CATTEMULL,65/100,18/32,2019/10/17,Birmingham Academy
14,DUDLEY WHILES,54/100,15/32,2019/10/17,Birmingham Academy
15,TEIRTZA GHION,62/100,19/32,2019/10/17,Birmingham Academy
16,ALICE VICKERY,47/100,20/32,2019/10/17,Birmingham Academy
17,TUCKY HENSTRIDGE,60/100,19/32,2019/10/17,Birmingham Academy
18,HILDY TODD,49/100,15/32,2019/10/17,Birmingham Academy
19,SANDY DROOGAN,53/100,19/32,2019/10/17,Birmingham Academy
20,DRUCY ADOLTHINE,50/100,24/32,2019/10/17,Birmingham Academy
21,DYNA CRISTOFANO,55/100,19/32,2019/10/17,Birmingham Academy
22,HYACINTH MERON,53/100,16/32,2019/10/17,Birmingham Academy
23,DRU PABEL,50/100,27/32,2019/10/17,Birmingham Academy
24,LORIN JOZEF,50/100,17/32,2019/10/17,Birmingham Academy
25,MISTY PITT,64/100,21/32,2019/10/17,Birmingham Academy
26,VERNOR D'ALMEIDA,50/100,22/32,2019/10/17,Birmingham Academy
27,BRITTAN MOUAT,51/100,21/32,2019/10/17,Birmingham Academy
28,DEN ROMAN,56/100,18/32,2019/10/17,Birmingham Academy
29,EZEQUIEL COTSFORD,54/100,22/32,2019/10/17,Birmingham Academy
0,CONRAD CEILLIER,46/100,17/32,2019/09/17,London Academy
1,PARRY OSWICK,46/100,21/32,2019/09/17,London Academy
2,DUFFIE HANSCOMBE,56/100,24/32,2019/09/17,London Academy
3,ISACCO MATUSCHEK,62/100,16/32,2019/09/17,London Academy
4,WOODY ORRITT,46/100,19/32,2019/09/17,London Academy
5,ADAH SILVERTON,59/100,22/32,2019/09/17,London Academy
6,MICHEL CHAFFEY,48/100,22/32,2019/09/17,London Academy
7,CRISTAL JEANS,62/100,25/32,2019/09/17,London Academy
8,TORIE ALESSANDRINI,58/100,12/32,2019/09/17,London Academy
9,MICHEL KHOTER,47/100,19/32,2019/09/17,London Academy
10,RUBY LARCIERE,50/100,19/32,2019/09/17,London Academy
11,WOLFIE MACIEJA,57/100,25/32,2019/09/17,London Academy
12,DAVIDDE TUOHY,58/100,23/32,2019/09/17,London Academy
13,OTES KEMSTER,52/100,26/32,2019/09/17,London Academy
14,ABDUL NAIL,52/100,12/32,2019/09/17,London Academy
15,BRENDAN TITHECOTT,55/100,23/32,2019/09/17,London Academy
16,JACINTHE PACKHAM,61/100,23/32,2019/09/17,London Academy
17,BEVON CLAYWORTH,55/100,16/32,2019/09/17,London Academy
18,KRISTA TRETHEWEY,47/100,23/32,2019/09/17,London Academy
19,PHILOMENA CESSFORD,54/100,20/32,2019/09/17,London Academy
20,FIONA GOODBODDY,50/100,16/32,2019/09/17,London Academy
21,PASQUALE CRITTEN,49/100,23/32,2019/09/17,London Academy
22,BONIFACE TANSLEY,54/100,20/32,2019/09/17,London Academy
23,TOMA MACGIBBON,47/100,18/32,2019/09/17,London Academy
24,BLANE MANDERSON,61/100,19/32,2019/09/17,London Academy
25,CONSTANTINE CASLETT,62/100,25/32,2019/09/17,London Academy
26,KEENE SLIMM,64/100,24/32,2019/09/17,London Academy
27,SIBYLLE JURIS,51/100,22/32,2019/09/17,London Academy
28,ZONDRA FIPPE,60/100,15/32,2019/09/17,London Academy
29,KENDALL DAUGHTREY,50/100,21/32,2019/09/17,London Academy
30,GENA TRUSTRIE,46/100,22/32,2019/09/17,London Academy
31,PAPAGENO KINNERLEY,47/100,18/32,2019/09/17,London Academy
32,AVERILL PICKANCE,54/100,23/32,2019/09/17,London Academy
33,STAR LAPTHORN,52/100,14/32,2019/09/17,London Academy
34,SHAWN ROBERTSHAW,47/100,22/32,2019/09/17,London Academy
35,PATRICIO STENET,50/100,20/32,2019/09/17,London Academy
36,ELICIA NUTKIN,51/100,18/32,2019/09/17,London Academy
37,COLLEEN ROSSEY,41/100,19/32,2019/09/17,London Academy
38,SIEGFRIED EVERAL,53/100,23/32,2019/09/17,London Academy
39,CHANDRA BEST,57/100,22/32,2019/09/17,London Academy
40,STANDFORD GLANERT,41/100,20/32,2019/09/17,London Academy
41,SILVIO RANDAL,63/100,13/32,2019/09/17,London Academy
42,JANKA CLEMENCET,53/100,22/32,2019/09/17,London Academy
43,NATHANIEL IANNETTI,46/100,19/32,2019/09/17,London Academy
44,BERKLEY BARTOMEU,57/100,14/32,2019/09/17,London Academy
45,LAMAR MACGEBENAY,57/100,20/32,2019/09/17,London Academy
46,KALVIN WADWORTH,50/100,14/32,2019/09/17,London Academy
47,DARIA TUDGE,57/100,14/32,2019/09/17,London Academy
48,HASTINGS FLOWER,48/100,28/32,2019/09/17,London Academy
49,UMEKO BOZIER,54/100,17/32,2019/09/17,London Academy
0,KASSI PINNOCK,63/100,15/32,2019/04/18,Birmingham Academy
1,RIP MCILVENNY,64/100,21/32,2019/04/18,Birmingham Academy
2,SIBYL BRADDICK,61/100,26/32,2019/04/18,Birmingham Academy
3,JANET COPNER,55/100,26/32,2019/04/18,Birmingham Academy
4,IVETT BRIDEL,59/100,22/32,2019/04/18,Birmingham Academy
5,MANDY MARGARET,48/100,14/32,2019/04/18,Birmingham Academy
6,BROSE BENAINE,54/100,17/32,2019/04/18,Birmingham Academy
7,AGGY HEFFERAN,60/100,17/32,2019/04/18,Birmingham Academy
8,CANDIE GEARE,40/100,24/32,2019/04/18,Birmingham Academy
9,NANETTE BORRILL,59/100,24/32,2019/04/18,Birmingham Academy
10,HERVEY CLIMER,59/100,22/32,2019/04/18,Birmingham Academy
11,SHELAGH BARTHEL,66/100,16/32,2019/04/18,Birmingham Academy
12,SONNNIE STELLJES,66/100,19/32,2019/04/18,Birmingham Academy
13,PREN ABRAMOVICZ,63/100,15/32,2019/04/18,Birmingham Academy
14,FELICE CULKIN,49/100,20/32,2019/04/18,Birmingham Academy
15,HAROUN MCCROHON,57/100,19/32,2019/04/18,Birmingham Academy
16,ELLIOT RUCKERT,62/100,20/32,2019/04/18,Birmingham Academy
17,OTHILIA SKYPP,59/100,22/32,2019/04/18,Birmingham Academy
18,IVETT POTE,49/100,25/32,2019/04/18,Birmingham Academy
19,THATCHER FRANKISH,63/100,21/32,2019/04/18,Birmingham Academy
20,JOYCELIN DOERFFER,56/100,21/32,2019/04/18,Birmingham Academy
21,FELICIA ANNION,46/100,22/32,2019/04/18,Birmingham Academy
22,WENDELL THOMASSEN,55/100,19/32,2019/04/18,Birmingham Academy
23,CHANDLER ILCHENKO,44/100,24/32,2019/04/18,Birmingham Academy
0,MIRABELLE SHAKESHAFT,58/100,26/32,2019/12/18,London Academy
1,SEE FOYNES,50/100,14/32,2019/12/18,London Academy
2,HERSCH HOLBURN,53/100,20/32,2019/12/18,London Academy
3,ADINA SETON,60/100,19/32,2019/12/18,London Academy
4,MORT LETRANGE,40/100,22/32,2019/12/18,London Academy
5,NADY SMALLPIECE,63/100,15/32,2019/12/18,London Academy
6,NOREAN CASTON,50/100,18/32,2019/12/18,London Academy
7,HEBERT BUBBINS,47/100,22/32,2019/12/18,London Academy
8,TIPHANIE SELWAY,54/100,19/32,2019/12/18,London Academy
9,DAVY REISENBERG,48/100,24/32,2019/12/18,London Academy
10,CLAREY FAGAN,48/100,21/32,2019/12/18,London Academy
11,CANDY VANN,54/100,18/32,2019/12/18,London Academy
12,WINONA STROTTON,55/100,15/32,2019/12/18,London Academy
13,BAIL DELGARDO,44/100,18/32,2019/12/18,London Academy
14,HARRI HEINSCHKE,56/100,18/32,2019/12/18,London Academy
15,LURLEEN MORO,54/100,17/32,2019/12/18,London Academy
16,DANNYE FRACZEK,50/100,19/32,2019/12/18,London Academy
17,MARLOWE BAXSTARE,45/100,17/32,2019/12/18,London Academy
18,SYDELLE GASCOIGNE,44/100,22/32,2019/12/18,London Academy
19,ROCHETTE BELLFIELD,59/100,22/32,2019/12/18,London Academy
20,ARNEY WATSHAM,49/100,10/32,2019/12/18,London Academy
21,CALLIDA BRAZEL,46/100,18/32,2019/12/18,London Academy
22,SUNNY STONEBRIDGE,49/100,17/32,2019/12/18,London Academy
23,CRIS VAN SCHAFFLAER,57/100,20/32,2019/12/18,London Academy
24,LINETTE HENDONSON,46/100,17/32,2019/12/18,London Academy
25,ROSANNE MACCAUGHEY,49/100,21/32,2019/12/18,London Academy
26,CIRILO CROY,52/100,27/32,2019/12/18,London Academy
27,LORA KIEBES,61/100,18/32,2019/12/18,London Academy
28,ROBINA ROSEN,48/100,16/32,2019/12/18,London Academy
29,HENDRICK SKELLON,64/100,23/32,2019/12/18,London Academy
30,SISILE RAWOOD,45/100,22/32,2019/12/18,London Academy
31,BEVERLIE NEWHOUSE,56/100,19/32,2019/12/18,London Academy
